date,seed,fleet,weight,policy,requests,served,expired,service_rate,mean_wait_min,p90_wait_min,mean_pickup_min,idle_share,pickup_share,passenger_share,mean_decision_ms,max_decision_ms,drain_end_min,decision_epochs,epochs_with_evaluated_alternatives,epochs_with_future_count_difference,epochs_with_higher_future_count,changed_from_same_state_baseline,evaluated_candidates,expired_no_decision_epoch_before_expiry,expired_feasible_at_least_once_but_unserved,expired_idle_but_unreachable_at_every_epoch,expired_no_idle_at_every_epoch,expired_mixed_no_idle_and_unreachable
2024-01-17,2027,8,3,lookahead,103,55,48,0.5339805825242718,8.300303030303052,9.599999999999946,7.378181818181818,0.13113715277777752,0.40785590277777783,0.4610069444444446,0.39453149993943687,2.301457992871292,143,82,18,2,0,0,36,0,13,2,0,33
2024-01-17,2027,8,10,lookahead,103,55,48,0.5339805825242718,8.300303030303052,9.599999999999946,7.378181818181818,0.13113715277777752,0.40785590277777783,0.4610069444444446,0.3912139883784509,2.121124998666346,143,82,18,2,0,0,36,0,13,2,0,33
2024-01-16,2026,12,0,baseline,57,55,2,0.9649122807017544,7.790757575757577,9.183333333333422,7.338030303030303,0.41112847222222215,0.27291666666666664,0.3159548611111112,0.011788424811899088,0.0320410035783425,134,52,0,0,0,0,0,0,0,0,0,2
2024-01-16,2026,12,3,lookahead,57,55,2,0.9649122807017544,7.790757575757577,9.183333333333422,7.338030303030303,0.41112847222222215,0.27291666666666664,0.3159548611111112,1.15605680576454,2.9485419945558533,134,52,43,2,1,0,124,0,0,0,0,2
2024-01-16,2026,12,10,lookahead,57,55,2,0.9649122807017544,7.829242424242427,9.180000000000012,7.3149999999999995,0.41587384259259247,0.272037037037037,0.3120891203703705,1.1445269993967948,4.502665993641131,134,57,39,5,2,2,138,0,0,0,0,2
2024-01-16,2027,12,0,baseline,57,55,2,0.9649122807017544,7.700454545454546,9.174999999999898,7.247727272727272,0.41457754629629623,0.2694675925925926,0.3159548611111112,0.01396232675268458,0.0950419926084578,134,52,0,0,0,0,0,0,0,0,0,2
2024-01-16,2027,12,3,lookahead,57,55,2,0.9649122807017544,7.700454545454546,9.174999999999898,7.247727272727272,0.41457754629629623,0.2694675925925926,0.3159548611111112,1.1963957678325152,3.3263749937759712,134,52,42,2,0,0,129,0,0,0,0,2
2024-01-16,2027,12,10,lookahead,57,55,2,0.9649122807017544,7.700454545454546,9.174999999999898,7.247727272727272,0.41457754629629623,0.2694675925925926,0.3159548611111112,1.1933357093836934,3.5540419921744615,134,52,42,2,0,0,129,0,0,0,0,2
2024-01-17,2026,12,0,baseline,103,76,27,0.7378640776699029,8.144846491228089,9.595833333333317,7.306030701754386,0.20288194444444435,0.3730555555555556,0.42406250000000006,0.009324094801405934,0.044249987695366144,141,95,0,0,0,0,0,0,7,4,0,16
2024-01-17,2026,12,3,lookahead,103,74,29,0.7184466019417476,8.062049549549569,9.355833333333356,7.363400900900901,0.21934606481481467,0.36629629629629634,0.414357638888889,0.721218954357836,3.496958001051098,141,90,39,6,4,1,102,0,6,4,0,19
2024-01-17,2026,12,10,lookahead,103,76,27,0.7378640776699029,8.099671052631596,9.483333333333363,7.289583333333334,0.20657986111111112,0.37147569444444434,0.42194444444444457,0.7547675782310156,3.7732500059064478,141,90,35,6,3,3,109,0,6,4,0,17
2024-01-17,2027,12,0,baseline,103,76,27,0.7378640776699029,8.0356359649123,9.60416666666665,7.317653508771929,0.2131944444444443,0.3734143518518519,0.41339120370370386,0.009409022099408571,0.04100000660400838,141,93,0,0,0,0,0,0,5,3,0,19
2024-01-17,2027,12,3,lookahead,103,76,27,0.7378640776699029,8.175877192982474,9.608333333333356,7.389692982456141,0.20503472222222213,0.37791087962962966,0.4170543981481482,0.6610808143039358,4.658541001845151,141,97,33,3,3,1,97,0,6,3,0,18
2024-01-17,2027,12,10,lookahead,103,76,27,0.7378640776699029,8.152741228070193,9.649999999999977,7.3797149122807015,0.2056770833333333,0.37623263888888886,0.41809027777777785,0.680728907608091,4.6986250090412796,141,97,32,5,3,3,99,0,6,3,0,18
